DATE,PW,CAPA,SOLAR_PW,SOLAR_CAPA,WIND_PW,WIND_CAPA,TEMP_MAX,TEMP_MIN,RADIATION,MA1H,MA1D,MACD,20SD,upper_band,lower_band,EMA,logmomentum,IDX,ABS_3COMP,ANGLE_3COMP,ABS_6COMP,ANGLE_6COMP,ABS_9COMP,ANGLE_9COMP,DWT_A,DWT_D
202102041045,1722.0,9459.0,1375.0,4788.0,347.0,4671.0,100.0,51.0,42.0,1620.5,1818.34375,-27.41431501778993,1181.3162483244944,4180.976246648988,-544.2887466489888,1687.4129269317616,7.450660796211539,3285,1957.8027693546471,0.04752399442959204,1569.25728127853,0.01747362552637317,1371.8585176787146,0.013838928987790941,1746.0000000000005,24.000000000000036
202102041100,1770.0,9459.0,1475.0,4788.0,295.0,4671.0,100.0,51.0,42.0,1687.5,1826.4479166666667,-27.34443580968923,1180.7237908722657,4187.895498411198,-534.9996650778646,1742.4709756439206,7.478169694159785,3286,1958.37183886166,0.0478209663359427,1569.2442366127448,0.017789063086971563,1371.0481310815906,0.014150667193230574,1787.0000000000002,12.000000000000098
202102041115,1799.0,9459.0,1576.0,4788.0,223.0,4671.0,100.0,51.0,42.0,1736.5,1835.3020833333333,-27.30000677946805,1180.108414180239,4195.518911693811,-524.9147450271446,1780.1569918813068,7.494430215031565,3287,1958.94194227541,0.0481175153524835,1569.2334856410623,0.01810414035150401,1370.2477369544329,0.014462059662971535,1787.0000000000002,-12.000000000000098
202102041130,1775.0,9459.0,1599.0,4788.0,176.0,4671.0,100.0,51.0,42.0,1766.5,1841.9791666666667,-27.234704062218043,1179.4866251118526,4200.952416890372,-516.9940835570385,1776.7189972937688,7.480992162869525,3288,1959.5130775017053,0.0484136399557557,1569.2250334427033,0.018418849862405502,1369.4573582180324,0.014773085676181272,1712.5000000000002,37.4999999999999
202102041145,1750.0,9459.0,1564.0,4788.0,186.0,4671.0,100.0,51.0,42.0,1773.5,1843.71875,-27.147706506135364,1178.8632330715116,4201.445216143024,-514.0077161430231,1758.9063324312563,7.466799475018602,3289,1960.085242438121,0.048709338627727916,1569.2188850791651,0.018733184167574163,1368.6770174502994,0.015083724489208672,1712.5000000000002,-37.4999999999999
202102041200,1675.0,9459.0,1493.0,4788.0,182.0,4671.0,100.0,51.0,42.0,1749.75,1839.09375,-26.995420295907707,1178.242140000294,4195.578030000588,-517.3905300005881,1702.9687774770855,7.422971251049421,3290,1960.6584349740258,0.04900460985580477,1569.2150455942092,0.01904713582062178,1367.9067368860078,0.015393955338043417,1629.0000000000002,2.0000000000000164
202102041215,1631.0,9459.0,1443.0,4788.0,188.0,4671.0,100.0,51.0,42.0,1707.75,1832.0208333333333,-26.805070377788297,1177.627109980261,4187.275053293855,-523.2333866271886,1654.989592492362,7.396335293800808,3291,1961.2326529906068,0.049299452132833904,1569.2135200138464,0.019360697381121585,1367.1465384165554,0.01570375744078654,1629.0000000000002,-2.0000000000000164
202102041230,1627.0,9459.0,1404.0,4788.0,223.0,4671.0,100.0,51.0,42.0,1670.75,1825.6666666666667,-26.611673491926467,1177.021684002811,4179.710034672289,-528.3767013389554,1636.3298641641206,7.3938782901077555,3292,1961.8078943608941,0.04959386395711431,1569.2143133463233,0.01967386141485947,1366.39644358975,0.016013110000139854,1587.0000000000002,50.000000000000085
202102041245,1637.0,9459.0,1343.0,4788.0,294.0,4671.0,100.0,51.0,42.0,1642.5,1822.5729166666667,-26.427460952718548,1176.4326114995258,4175.438139665718,-530.2923063323849,1636.7766213880402,7.400009517162692,3293,1962.3841569497886,0.0498878438324035,1569.2174305821125,0.019986620494082886,1365.6564736096113,0.016321992205906084,1587.0000000000002,-50.000000000000085
202102041300,1537.0,9459.0,1228.0,4788.0,309.0,4671.0,100.0,51.0,42.0,1608.0,1821.28125,-26.156362505441848,1175.8619375055682,4173.005125011136,-530.4426250111364,1570.2588737960134,7.336936913707618,3294,1962.9614386140872,0.05018139026792522,1569.2228766939024,0.02029896719775129,1364.926649336197,0.016630383237504723,1287.0000000000002,87.00000000000007
