DATE,PW,CAPA,TEMP_MAX,TEMP_MIN,RADIATION,MA1H,MA1D,MACD,20SD,upper_band,lower_band,EMA,logmomentum,IDX,ABS_3COMP,ANGLE_3COMP,ABS_6COMP,ANGLE_6COMP,ABS_9COMP,ANGLE_9COMP,DWT_A,DWT_D
202103090945,393.0,4788.0,74.0,34.0,126.0,307.75,664.03125,-86.45961073186857,864.8967196842897,2393.824689368579,-1065.7621893685794,364.4948319757038,5.971261839790462,6448,502.45373968948576,-0.07461854225127353,512.125837002655,0.03705967938321989,524.9777690469747,0.007387266115924522,476.0,-15.000000000000002
202103091000,461.0,4788.0,74.0,34.0,126.0,366.25,649.8125,-86.28128044141812,864.8950207385527,2379.6025414771057,-1079.9775414771054,428.83161065856797,6.131226489483141,6449,502.4329073674965,-0.07436231432449628,511.8075402999624,0.03710984327989866,524.2300134387398,0.0072527188715100065,476.0,15.000000000000002
202103091015,491.0,4788.0,74.0,34.0,126.0,419.75,633.9895833333334,-86.13115623573356,864.8786291124105,2363.7468415581543,-1095.7676748914878,470.277203552856,6.194405391104672,6450,502.4123305312848,-0.07410567546062168,511.4889428269773,0.03715937983948131,523.4810691835743,0.007117490454055039,543.5,-15.500000000000005
202103091030,528.0,4788.0,74.0,34.0,126.0,468.25,616.7604166666666,-86.01567090023377,864.8550755078619,2346.4705676823905,-1112.949734349057,508.759067850952,6.267200548541362,6451,502.3920096718147,-0.07384862717821286,511.1700465006872,0.037208287326985785,522.7309530391016,0.006981583073741193,543.5,15.500000000000005
202103091045,559.0,4788.0,74.0,34.0,126.0,509.75,598.21875,-85.92916207990885,864.8227276614685,2327.864205322937,-1131.426705322937,542.253022616984,6.324358962381311,6452,502.3719452781795,-0.07359117100008665,510.8508532456015,0.037256564013296224,521.9796818131109,0.006844998974240451,550.0000000000001,-2.9999999999999845
202103091100,547.0,4788.0,74.0,34.0,126.0,531.25,578.1458333333334,-85.83160332515303,864.7712689846207,2307.688371302575,-1151.396704635908,545.4176742056613,6.302618975744905,6453,502.35213783759525,-0.07333330845330019,510.53136499375614,0.037304208175201685,521.2272723630458,0.006707740433024655,550.0000000000001,2.9999999999999845
202103091115,553.0,4788.0,74.0,34.0,126.0,546.75,557.1666666666666,-85.73974741179853,864.6776401440153,2286.5219469546973,-1172.1886136213639,550.4725580685538,6.313548046277095,6454,502.3325878353935,-0.07307504106913823,510.2115836847169,0.03735121809543403,520.473741595489,0.0065698097616760966,584.0000000000001,3.9999999999999925
202103091130,588.0,4788.0,74.0,34.0,126.0,561.75,535.5520833333334,-85.68052544782279,864.53195662466,2264.615996582653,-1193.5118299159867,575.490852689518,6.375024819828097,6455,502.31329575501576,-0.07281637038309922,509.8915112655854,0.03739759206270682,519.7191064656462,0.006431209306201253,584.0000000000001,-3.9999999999999925
202103091145,580.0,4788.0,74.0,34.0,126.0,567.0,512.8854166666666,-85.61390122203522,864.3236507919657,2241.532718250598,-1215.761884917265,578.496950896506,6.361302477572996,6456,502.29426207800606,-0.07255729793488244,509.5711496910009,0.037443328371754,518.9633839768283,0.00629194144734541,622.5000000000001,-40.50000000000001
202103091200,582.0,4788.0,74.0,34.0,126.0,575.75,489.7916666666667,-85.54918515565436,864.0823062523971,2217.9562791714607,-1238.3729458381274,580.832316965502,6.364750756851911,6457,502.27548728400467,-0.07229782526837422,509.2505009231458,0.037488425323368754,518.2065911799302,0.006152008600909596,622.5000000000001,40.50000000000001
202103091215,663.0,4788.0,74.0,34.0,126.0,603.25,467.4895833333333,-85.55977639016072,863.9024258511564,2195.294435035646,-1260.3152683689796,635.6107723218339,6.495265555937008,6458,502.2569718507426,-0.07203795393163413,508.92956693174796,0.03753288122444316,517.4487451729091,0.006011413218069977,657.5000000000001,-7.500000000000021
202103091230,650.0,4788.0,74.0,34.0,126.0,618.75,444.8854166666667,-85.55814265005438,863.6980940198395,2172.2816047063457,-1282.5107713730122,645.2035907739446,6.47543271670409,6459,502.238716254033,-0.07177768547688185,508.60834969408523,0.03757669438800701,516.6898631002603,0.005870157785698177,657.5000000000001,7.500000000000021
202103091245,665.0,4788.0,74.0,34.0,126.0,640.0,422.2291666666667,-85.57033164581748,863.5184709550527,2149.2661085767722,-1304.8077752434388,658.4011969246482,6.498282149476434,6460,502.2207209677674,-0.07151702146048235,508.28685119498823,0.03761986313326813,515.9299621524904,0.005728244826684169,722.0000000000001,-35.99999999999997
