DATE,PW,CAPA,TEMP_MAX,TEMP_MIN,RADIATION,MA1H,MA1D,MACD,20SD,upper_band,lower_band,EMA,logmomentum,IDX,ABS_3COMP,ANGLE_3COMP,ABS_6COMP,ANGLE_6COMP,ABS_9COMP,ANGLE_9COMP
202103151330,2518.0,4671.0,86.0,51.0,93.0,2430.75,2359.6458333333335,-306.3513046306223,1373.9281693139342,5107.502171961201,-388.21050529453487,2500.272302672007,7.830822995135316,7039,1610.14779315554,0.1121559057849703,2188.7121407439454,-0.03699816850592434,2633.8468560036363,-0.006744142470894968
202103151345,2658.0,4671.0,86.0,51.0,93.0,2535.25,2361.0833333333335,-306.62510774379007,1373.750995207755,5108.585323748844,-386.41865708217665,2605.424100890669,7.884952945759814,7040,1610.4987342176598,0.11180619989110846,2186.232794475856,-0.037147773756856545,2628.7404824665873,-0.006622717541063397
202103151400,2729.0,4671.0,86.0,51.0,93.0,2603.5,2363.1875,-306.96388040596935,1373.570794370818,5110.329088741636,-383.95408874163604,2687.808033630223,7.911324018963353,7041,1610.8486532895276,0.1114561934955897,2183.7472364136256,-0.03729711287575314,2623.6152098855837,-0.006500580841929242
202103151415,2820.0,4671.0,86.0,51.0,93.0,2681.25,2365.3020833333335,-307.3860745088623,1373.3916745558831,5112.085432445099,-381.48126577843277,2775.9360112100744,7.9441374911141125,7042,1611.1975490879656,0.11110588777762075,2181.2555016103834,-0.03744618356970834,2618.4711462433725,-0.006377731119558099
202103151430,2938.0,4671.0,86.0,51.0,93.0,2786.25,2368.40625,-307.9166110715764,1373.2666509940843,5114.939551988169,-378.12705198816866,2883.978670403358,7.98514393119862,7043,1611.5454203333343,0.11075528391501668,2178.757625178817,-0.03759498353378316,2613.308399948271,-0.006254167110698678
202103151445,3054.0,4671.0,86.0,51.0,93.0,2885.25,2370.2708333333335,-308.5533533256562,1373.2043328831478,5116.6794990996295,-376.1378324329621,2997.326223467786,8.023879992734878,7044,1611.89226574953,0.11040438308420472,2176.253642290707,-0.03774351045094164,2608.1270798315686,-0.006129887542749743
202103151500,3034.0,4671.0,86.0,51.0,93.0,2961.5,2371.8645833333335,-309.1694358170489,1373.0784022587193,5118.021387850772,-374.2922211841051,3021.7754078225953,8.017307507688582,7045,1612.2380840639848,0.11005318646022731,2173.7435881764504,-0.03789176199198769,2602.927295144916,-0.0060048911337273305
202103151515,3106.0,4671.0,86.0,51.0,93.0,3033.0,2374.75,-309.8505484454456,1372.9854253985334,5120.720850797066,-371.22085079706676,3077.925135940865,8.040768994367578,7046,1612.5828740076668,0.1097016952167459,2171.227498124595,-0.03803973581550117,2597.709155557703,-0.005879176592232054
202103151530,3006.0,4671.0,86.0,51.0,93.0,3050.0,2376.1354166666665,-310.43641857380203,1372.9545927513052,5122.044602169277,-369.7737688359439,3029.9750453136216,8.008032846969307,7047,1612.9266343150766,0.10934991052604401,2168.7054074813555,-0.03818742956777364,2592.4727711544315,-0.005752742617416044
202103151545,3074.0,4671.0,86.0,51.0,93.0,3055.0,2377.8958333333335,-311.08367054846235,1373.1428277034101,5124.181488740154,-368.3898220734868,3059.325015104541,8.030409562130485,7048,1613.26936372425,0.10899783355903084,2166.1773516501553,-0.03833484088274449,2587.2182524320688,-0.00562558789895115
202103151600,2970.0,4671.0,86.0,51.0,93.0,3039.0,2378.7708333333335,-311.6320402461372,1373.2305719501965,5125.231977233727,-367.69031056705944,2999.7750050348473,7.99598047476376,7049,1613.6110609767554,0.10864546548524491,2163.6433660911393,-0.03848196738193679,2581.9457102973943,-0.005497711116996397
202103151615,2792.0,4671.0,86.0,51.0,93.0,2960.5,2376.3854166666665,-312.012893540925,1373.1953283305104,5122.776073327687,-370.00523999435427,2861.258335011616,7.934155233536322,7050,1613.9517248176944,0.10829280747285713,2161.10348632071,-0.03862880667439269,2576.6552560643368,-0.005369110942166312
202103151630,2734.0,4671.0,86.0,51.0,93.0,2892.5,2372.9791666666665,-312.3383577392751,1373.1968762454203,5119.372919157508,-373.4145858241741,2776.419445003872,7.913155185928068,7051,1614.2913539956978,0.10793986068867464,2158.5577479110457,-0.038775356356609204,2571.3470014512945,-0.005239786035499178
202103151645,2823.0,4671.0,86.0,51.0,93.0,2829.75,2371.1770833333335,-312.74540995039183,1373.1996230679283,5117.57632946919,-375.22216280252314,2807.473148334624,7.945201132412759,7052,1614.6299472629303,0.107586626298144,2156.0061864896284,-0.038921614012473495,2566.021058578457,-0.00510973504842564
202103151700,2875.0,4671.0,86.0,51.0,93.0,2806.0,2369.71875,-313.19940089277657,1373.2910413418579,5116.300832683715,-376.8633326837157,2852.4910494448745,7.96346006663897,7053,1614.9675033750852,0.10723310546535487,2153.4488377387675,-0.03906757721319794,2560.677539965099,-0.0049789566227373995
202103151715,2778.0,4671.0,86.0,51.0,93.0,2802.5,2366.96875,-313.56151138151836,1373.3585929535425,5113.685935907085,-379.74843590708497,2802.830349814958,7.9291264873067995,7054,1615.3040210913864,0.10687929935304352,2150.885737395124,-0.039213243517255546,2555.316558526881,-0.004847449390556622
202103151730,2759.0,4671.0,86.0,51.0,93.0,2808.75,2363.9791666666665,-313.9045816447808,1373.4401969847788,5110.859560636224,-382.90122730289113,2773.610116604986,7.922261058353247,7055,1615.6394991745856,0.10652520912259607,2148.316921249232,-0.03935861047031512,2549.9382275731227,-0.004715211974305437
202103151745,2644.0,4671.0,86.0,51.0,93.0,2764.0,2361.5520833333335,-314.1392954284088,1373.3988655307683,5108.34981439487,-385.24564772820304,2687.203372201662,7.879669914604289,7056,1615.9739363909657,0.10617083593405233,2145.7424251450257,-0.039503675605175426,2544.5426608040843,-0.004582242986675054
202103151800,2502.0,4671.0,86.0,51.0,93.0,2670.75,2358.4375,-314.2407931027467,1373.265105437868,5104.967710875736,-388.092710875736,2563.734457400554,7.824445930877619,7057,1616.3073315103345,0.10581618094610895,2143.1622849793516,-0.039648436441701095,2539.1299723082207,-0.004448541030596841
202103151815,2541.0,4671.0,86.0,51.0,93.0,2611.5,2355.4791666666665,-314.3779010235173,1373.1714490233815,5101.822064713429,-390.8637313800964,2548.5781524668514,7.8399193600125825,7058,1616.6396833060294,0.10546124531612339,2140.576536701503,-0.039792890486756355,2533.70027655943,-0.004314104699211735
202103151830,2475.0,4671.0,86.0,51.0,93.0,2540.5,2352.7291666666665,-314.4527862621003,1373.0712385499667,5098.8716437666,-393.4133104332668,2499.5260508222837,7.813591552952433,7059,1616.9709905549137,0.10510603020011702,2137.9852163127325,-0.03993703523414022,2528.2536884143065,-0.004178932575841861
202103151845,2346.0,4671.0,86.0,51.0,93.0,2466.0,2349.6875,-314.40696059380184,1372.915663604154,5095.518827208308,-396.1438272083078,2397.1753502740944,7.76004068088038,7060,1617.3012520373763,0.10475053675277882,2135.388359865776,-0.040080868164520694,2522.7903231093574,-0.0040430232339610335
202103151900,2060.0,4671.0,86.0,51.0,93.0,2355.5,2344.125,-314.0945806356001,1372.663763473628,5089.452526947256,-401.20252694725605,2172.391783424698,7.629975707027789,7061,1617.630466537333,0.10439476612746908,2132.78600346437,-0.040224386745369316,2517.3102962582284,-0.003906375237166667
202103151915,1973.0,4671.0,86.0,51.0,93.0,2213.5,2337.7916666666665,-313.7015685486874,1372.3939931876403,5082.579653041947,-406.996319708614,2039.463927808233,7.586803535162581,7062,1617.958632842224,0.1040387194762228,2130.1781832627776,-0.04036758843089522,2511.813723848917,-0.003768987139151355
202103151930,2006.0,4671.0,86.0,51.0,93.0,2096.25,2330.3020833333335,-313.3398359105968,1372.073165183236,5074.448413699805,-413.84424703313834,2017.1546426027444,7.60339933974067,7063,1618.2857497430143,0.10368239794975297,2127.5649354652983,-0.040510470661979714,2506.30072224097,-0.003630857483675646
202103151945,1985.0,4671.0,86.0,51.0,93.0,2006.0,2321.34375,-312.9590358124392,1371.6561546295368,5064.656059259074,-421.9685592590736,1995.7182142009149,7.592870287844818,7064,1618.6118160341925,0.10332580269745485,2124.946296325798,-0.04065303086611019,2500.7714081626705,-0.0034919848045405345
202103152000,1842.0,4671.0,86.0,51.0,93.0,1951.5,2312.03125,-312.4456478865734,1371.1624922654446,5054.356234530889,-430.2937345308892,1893.2394047336384,7.518064181233078,7065,1618.936830513771,0.10296893486740871,2122.3223021472168,-0.04079526645731403,2495.2258987082264,-0.0033523676255605753
202103152015,1736.0,4671.0,86.0,51.0,93.0,1892.25,2303.2604166666665,-311.83445177483986,1370.6463357492944,5044.553088165256,-438.0322548319223,1788.4131349112129,7.45876269238096,7066,1619.2607919832856,0.10261179560638407,2119.692989281094,-0.04093717483609275,2489.6643113349346,-0.003212004460537764
202103152030,1659.0,4671.0,86.0,51.0,93.0,1805.5,2290.9583333333335,-311.152692073161,1370.0887351637193,5031.135803660773,-449.21913699410516,1702.137711637071,7.4133673356952405,7067,1619.5836992477944,0.1022543860598427,2117.058394127085,-0.041078753389356126,2484.0867638603477,-0.0030708938132358423
202103152045,1659.0,4671.0,86.0,51.0,93.0,1724.0,2277.7395833333335,-310.47222782398785,1369.4722112384252,5016.684005810184,-461.2048391435169,1673.379237212357,7.4133673356952405,7068,1619.905551115877,0.10189670737194292,2114.4185531324747,-0.04121999949035515,2478.49337445942,-0.0029290341773544376
202103152100,1756.0,4671.0,86.0,51.0,93.0,1702.5,2265.8229166666665,-309.8833543515693,1368.8472046567806,5003.517325980228,-471.8714926468947,1728.4597457374523,7.470224135899966,7069,1620.2263463996342,0.1015387606855426,2111.7735027916965,-0.04136091049861692,2472.8842616616557,-0.0027864240365049727
202103152115,1737.0,4671.0,86.0,51.0,93.0,1702.75,2254.03125,-309.2778554581746,1368.2201483904312,4990.471546780862,-482.40904678086235,1734.1532485791506,7.459338895220296,7070,1620.54608391469,0.10118054714220269,2109.123279645851,-0.04150148375987758,2467.259544348237,-0.002643061864185915
202103152130,1504.0,4671.0,86.0,51.0,93.0,1664.0,2239.6458333333335,-308.4565597410476,1367.579587359212,4974.805008051757,-495.51334138509037,1580.7177495263834,7.315218389752975,7071,1620.8647624801865,0.10082206788219154,2106.467920282217,-0.04164171660601588,2461.619341749152,-0.002498946123759025
202103152145,1447.0,4671.0,86.0,51.0,93.0,1611.0,2224.2916666666665,-307.583854996275,1366.9427394619947,4958.177145590656,-509.59381225732295,1491.572583175461,7.27655640271871,7072,1621.1823809187877,0.10046332404448781,2103.8074613337726,-0.041781606354987184,2455.963773440304,-0.0023540752684267628
202103152200,1407.0,4671.0,86.0,51.0,93.0,1523.75,2208.8020833333335,-306.67569812345573,1366.3089019808315,4941.419887294996,-523.8157206283295,1435.190861058487,7.2485040723706105,7073,1621.4989380566758,0.1001043167667845,2101.141939478705,-0.04192115031075688,2450.292959340623,-0.0022084477412092998
202103152215,1308.0,4671.0,86.0,51.0,93.0,1416.5,2192.2604166666665,-305.67725618348345,1365.635453820062,4923.53132430679,-539.0104909734573,1350.3969536861623,7.175489713624222,7074,1621.8144327235539,0.09974504718549222,2098.4713914399285,-0.04206034576323341,2444.607019709154,-0.002062061974922588
202103152230,1266.0,4671.0,86.0,51.0,93.0,1357.0,2174.4375,-304.64182144343476,1364.9382160106418,4904.313932021283,-555.4389320212836,1294.1323178953874,7.142827401161621,7075,1622.1288637526425,0.09938551643574323,2095.795853984599,-0.042199189988202226,2438.9060751421516,-0.0019149163921575122
202103152245,1280.0,4671.0,86.0,51.0,93.0,1315.25,2156.2708333333335,-303.6216204807156,1364.2596853804062,4884.790204094146,-572.2485374274788,1284.7107726317956,7.153833801578843,7076,1622.442229980681,0.09902572565139468,2093.115363923627,-0.04233768024725913,2433.190246570153,-0.0017670094052592384
202103152300,1273.0,4671.0,86.0,51.0,93.0,1281.75,2137.5833333333335,-302.59706678582097,1363.6088292321756,4864.800991797685,-589.6343251310177,1276.903590877265,7.148345743900068,7077,1622.754530247928,0.09866567596503259,2090.429958111191,-0.04247581378774328,2427.4596552550515,-0.001618339416306941
202103152315,1214.0,4671.0,86.0,51.0,93.0,1258.25,2118.4583333333335,-301.51976477820017,1362.947436821947,4844.353206977227,-607.4365403105603,1234.967863625755,7.10085190894405,7078,1623.0657633981577,0.09830536850797532,2087.739673444253,-0.04261358784267077,2421.714422787152,-0.001468904817095025
202103152330,1140.0,4671.0,86.0,51.0,93.0,1226.75,2098.3020833333335,-300.3758856342645,1362.2691491376752,4822.840381608684,-626.2362149420169,1171.6559545419184,7.037905963447182,7079,1623.375928278663,0.09794480441027728,2085.0445468620696,-0.042750999630668064,2415.954671082225,-0.001318703989114737
202103152345,1105.0,4671.0,86.0,51.0,93.0,1183.0,2077.1458333333335,-299.2019057118159,1361.5862133170697,4800.318259967473,-646.0265933008059,1127.2186515139729,7.00669522683704,7080,1623.6850237402532,0.09758398480073255,2082.344615345705,-0.04288804635590489,2410.180522378552,-0.0011677353035360668
202103160000,1078.0,4671.0,56.0,49.0,82.0,1134.25,2055.5,-298.00535029836806,1360.9584425664552,4777.4168851329105,-666.4168851329105,1094.4062171713242,6.981934677156389,7081,1623.9930486372539,0.09722291080687871,2079.6399159175444,-0.04302472520802778,2404.392099233954,-0.0010159971211913517
202103160015,1060.0,4671.0,56.0,49.0,82.0,1095.75,2033.1770833333333,-296.79465660677147,1360.3342668863372,4753.845617106008,-687.4914504393412,1071.468739057108,6.9650803456014065,7082,1624.300001827507,0.09686158355500007,2076.930485640804,-0.043161033362093794,2398.5895245228257,-0.0008634877925593384
202103160030,1074.0,4671.0,56.0,49.0,82.0,1079.25,2011.09375,-295.59965201556815,1359.7303170357038,4730.554384071407,-708.3668840714076,1073.1562463523694,6.9782137426306985,7083,1624.605882172371,0.09650000417013199,2074.2163616190464,-0.04329696797850266,2392.7729214331466,-0.0007102056577490481
202103160045,1032.0,4671.0,56.0,49.0,82.0,1061.0,1989.125,-294.3681660026955,1359.1154816246778,4707.355963249356,-729.1059632493557,1045.7187487841231,6.93828448401696,7084,1624.9106885367175,0.09613817377606403,2071.4975809956886,-0.04343252620293118,2386.942413463494,-0.0005561490464866686
202103160100,1023.0,4671.0,56.0,49.0,82.0,1047.25,1968.40625,-293.13101363128953,1358.4214007696423,4685.249051539285,-748.4365515392847,1030.5729162613743,6.92951677076365,7085,1625.2144197889363,0.09577609349534398,2068.774180953517,-0.04356770516626588,2381.098124420043,-0.00040131627810126617
202103160115,979.0,4671.0,56.0,49.0,82.0,1027.0,1947.3541666666667,-291.8556280302266,1357.7509852651717,4662.85613719701,-768.1478038636767,996.1909720871248,6.885509670034818,7086,1625.51707480093,0.0954137644492813,2066.046198714191,-0.043702501984536554,2375.240178413556,-0.0002457056615125581
202103160130,887.0,4671.0,56.0,49.0,82.0,980.25,1924.15625,-290.4974225113913,1357.0813668944227,4638.318983788846,-790.0064837888453,923.3969906957083,6.786716950605081,7087,1625.8186524481155,0.0950511877579511,2063.313671537764,-0.04383691375884946,2369.368699856375,-8.931549521936825e-05
202103160145,864.0,4671.0,56.0,49.0,82.0,938.25,1900.7083333333333,-289.1208438978315,1356.418140464474,4613.544614262281,-812.1279475956146,883.7989968985694,6.760414691083428,7088,1626.1191516094252,0.09468836454019737,2060.5766367221854,-0.043970937575321015,2363.4838134593924,6.785593271084807e-05
202103160200,816.0,4671.0,56.0,49.0,82.0,886.5,1878.0416666666667,-287.7026669342058,1355.7494035376958,4589.540473742059,-833.4571404087249,838.5996656328565,6.703188113240863,7089,1626.418571167304,0.09432529591363746,2057.8351316028156,-0.04410457050501051,2357.5856442290237,0.0002258103446519595
202103160215,765.0,4671.0,56.0,49.0,82.0,833.0,1858.3333333333333,-286.24020607163493,1355.08474397803,4568.502821289393,-851.8361546227268,789.5332218776189,6.638567789166521,7090,1626.716910007712,0.09396198299466504,2055.089193551932,-0.04423780960385409,2351.674317464164,0.0003845494734272675
